subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,lcc_T2W30,atd_T2W30,diameter_T2W30,asp_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30
CDMS-11-5A-MGTHAR,24.06741573033708,0.5393258426966292,0.3707865168539326,0.7191011235955056,0.1910112359550561,23.584269662921347,2.4053118610568536,9.157303370786517,4.0029575157854405,-0.3832025880980644,0.262941488050521,-0.6005315159478587,-0.0603978952821419,-0.1515241107439584,-0.1284016038190708,-0.0157016180619309
CDMS-11-6A-DFVEBE,20.818181818181817,1.121212121212121,0.8484848484848485,0.7272727272727273,0.8484848484848485,20.818181818181817,2.7900067872399887,8.424242424242424,3.6173850904660143,-0.2059885525946786,-0.1856501771404201,-0.1566719072892395,-0.1026745812015505,-0.4547398836478748,1.459968863252027,1.7499751199800462
CDMS-11-6A-NMREPR,23.426966292134832,1.404494382022472,0.1348314606741573,1.1235955056179776,0.1348314606741573,23.426966292134832,2.48711965502879,11.01123595505618,4.623799796975176,-0.6838476442191463,0.7509909895254349,-0.6899081133857798,-1.1900131381756882,-1.183214931977027,1.3476011687967324,1.8388626728893256
CDMS-11-6B-ARAHE,21.766666666666666,2.533333333333333,0.7944444444444444,1.4,0.5611111111111111,21.766666666666666,2.705640286817064,8.938888888888888,3.893789106892104,-0.330928909980104,0.4795888570151834,-0.5135534162950807,-0.7400155757278376,-1.4338448368024586,1.0667203905588414,1.4510907790563607
CDMS-11-6B-AVROTO,23.121951219512194,0.8373983739837398,0.4552845528455284,0.4715447154471545,0.4552845528455284,23.121951219512194,2.543077611505734,8.94308943089431,3.866836438544582,-0.2861128607890437,-0.3347117964582221,-0.2765022437286943,0.0579459592725299,0.0191386497880648,0.1296279466534257,0.0860555654246635
CDMS-11-6B-EAFESA,23.737373737373737,0.9494949494949496,0.303030303030303,1.3737373737373737,0.303030303030303,23.737373737373737,2.453941616541529,11.353535353535351,4.675252409470795,-0.3359842567030173,1.264047663341433,-0.331770660870542,-0.7758268310806201,-1.6268701002043509,1.239466992866728,1.466749515770071
CDMS-11-6B-EFRGR,22.2319587628866,1.5670103092783505,0.4329896907216495,1.407216494845361,0.4329896907216495,22.2319587628866,2.627870612772592,9.036082474226804,3.925145735921367,-0.3942494844714588,0.9182254044037444,-0.3874447442733441,-0.1785715302647991,-1.4952985938062893,0.8146104362470208,1.1439030479660788
CDMS-11-6B-EROCO,23.53968253968254,0.746031746031746,0.6825396825396826,1.8571428571428568,0.6825396825396826,23.53968253968254,2.4871126671232004,10.253968253968257,4.438215129920843,-0.3149821682972942,1.2841882394887445,-0.2626005622997918,0.0297987139023652,-0.9680877496240188,0.6016307006566683,0.9423129667632704
CDMS-11-6B-JACUPE,19.13888888888889,2.1333333333333333,1.5444444444444445,2.172222222222222,1.2944444444444445,19.133333333333333,3.047120301951762,6.916666666666667,3.141916735252537,-0.0825135945290477,0.7737199049040255,-0.1776361932384937,-0.8858512030955643,-1.3233572561665243,0.9521225365663928,1.3325706455468536
CDMS-11-6B-JDCHBA,22.067901234567906,1.530864197530864,0.2654320987654321,1.0432098765432098,0.2654320987654321,22.049382716049383,2.6344895909457717,9.302469135802468,3.891950398885358,-0.7021411726623531,0.4863520016909012,-0.6987285135672061,-0.7647136999399616,-0.9697749535365808,1.0733031072802912,1.2047687739745827
